"","x"
"1",0.381009558542456
"2",0.474016729564446
"3",0.42205354659593
"4",0.438279585066997
"5",0.439405896130316
"6",0.344397096644444
"7",0.542383517388537
"8",0.339490621590813
"9",0.384823572507098
"10",0.48359880676447
"11",0.518482023009147
"12",0.412956149660991
"13",0.433741989222167
"14",0.443743277816747
"15",0.485455564395939
"16",0.44525904313716
"17",0.433079277523912
"18",0.432189741594488
"19",0.424750085693824
"20",0.460437104351443
"21",0.57801650643028
"22",0.350420367545751
"23",0.440805609068151
"24",0.356482770691389
"25",0.302872332963174
"26",0.255174910368359
"27",0.443057115063629
"28",0.26315391161848
"29",0.27946545992854
"30",0.233767303262537
"31",0.51789317024754
"32",0.279374050849834
"33",0.35782003529134
"34",0.504983483961047
"35",0.321739000002689
"36",0.355493439870858
"37",0.309936496777462
"38",0.39032541496871
"39",0.387166045245437
"40",0.450178166758417
"41",0.532902003341934
"42",0.373369018642628
"43",0.599889480502172
"44",0.358478418820373
"45",0.382469806204061
"46",0.514072685950561
"47",0.471753653733995
"48",0.478815178074675
"49",0.525848433326171
"50",0.238062275739321
"51",0.345772466741882
"52",0.361265060176368
"53",0.214989607695261
"54",0.431319162107012
"55",0.507785825175888
"56",0.434606343001999
"57",0.387725869614076
"58",0.600429074858874
"59",0.392380063199234
"60",0.262040287362618
"61",0.300160553619953
"62",0.36939310673664
"63",0.326911452427506
"64",0.441548516080101
"65",0.33029326727993
"66",0.384565358937521
"67",0.36224969203192
"68",0.532382954779504
"69",0.533855736941414
"70",0.452091275075471
"71",0.381519870829708
"72",0.335775223003194
"73",0.3103708316537
"74",0.446181106431513
"75",0.376668385242657
"76",0.440709320257669
"77",0.347861683062675
"78",0.411410907721756
"79",0.472794614852156
"80",0.33047458394091
"81",0.361094937589312
"82",0.414979411899781
"83",0.371601010881648
"84",0.30369455562926
"85",0.328549276765366
"86",0.504682799564138
"87",0.214726298420001
"88",0.256961401905681
"89",0.501261705792137
"90",0.437635451084827
"91",0.382815590585863
"92",0.477651446762115
"93",0.447589842623513
"94",0.297887463116705
"95",0.301749856644401
"96",0.585682826193198
"97",0.334745888290903
"98",0.336007061219433
"99",0.4762549959906
"100",0.362206106823942
"101",0.563874005271272
"102",0.394238467935867
"103",0.449916980491495
"104",0.429761913414064
"105",0.415117507393469
"106",0.324405423386691
"107",0.469261586102605
"108",0.417508773468943
"109",0.41653380981659
"110",0.313165909075206
"111",0.485236713590928
"112",0.361659310925778
"113",0.435486364531643
"114",0.320574649104081
"115",0.43114195110994
"116",0.542009058787378
"117",0.445486439115555
"118",0.483156336386398
"119",0.397602159678498
"120",0.470932602499447
"121",0.369946676495184
"122",0.383050167988224
"123",0.323741809377117
"124",0.424265771205036
"125",0.290745997776722
"126",0.359303423473683
"127",0.320103923737511
"128",0.395124840361107
"129",0.549542314837482
"130",0.429052486632554
"131",0.462412519877019
"132",0.42072005505175
"133",0.351919158306315
"134",0.429199640056911
"135",0.324967294045272
"136",0.551367594875577
"137",0.28262017810947
"138",0.397988380603482
"139",0.464658767220976
"140",0.347440964584295
"141",0.36918871916562
"142",0.372055079281202
"143",0.446211533792083
"144",0.489229131869773
"145",0.543298655455596
"146",0.429485836244419
"147",0.313621291617997
"148",0.495760317157789
"149",0.420491602931307
"150",0.534326890809586
"151",0.32305298625608
"152",0.216526588447835
"153",0.468273164724023
"154",0.517484993750919
"155",0.34832807050688
"156",0.499752859103949
"157",0.232983225088343
"158",0.468081507118362
"159",0.365265623479887
"160",0.458384928972533
"161",0.568643537077313
"162",0.369274440805867
"163",0.329704587402202
"164",0.267440036633208
"165",0.525077255762476
"166",0.447919731275334
"167",0.527730708051332
"168",0.341702355761632
"169",0.241498997577526
"170",0.423416993116784
"171",0.314679127266743
"172",0.244812445703614
"173",0.485544125611327
"174",0.305637450085434
"175",0.341080941951333
"176",0.423501111876545
"177",0.453824943666691
"178",0.37171285148041
"179",0.415190897194787
"180",0.34491786180906
"181",0.268970252263231
"182",0.318817147688641
"183",0.425821353505357
"184",0.401093024576251
"185",0.390332893842681
"186",0.437673920754521
"187",0.50244282545538
"188",0.288005092865822
"189",0.555414608037426
"190",0.406362350326517
"191",0.258826874252007
"192",0.440124499634338
"193",0.289851390719038
"194",0.332696622345396
"195",0.481529084683389
"196",0.508503619645405
"197",0.355316691961499
"198",0.443196157188855
"199",0.358846378075436
"200",0.49964651941177
"201",0.414730110981481
"202",0.553692608834036
